Wall time,Step,Value
1723078131.662319,734,734.0
1723078193.9693189,739,739.0
1723078244.7160308,743,743.0
1723078270.2645996,745,745.0
1723078421.9583287,757,757.0
1723078447.292887,759,759.0
1723078523.298625,765,765.0
1723078536.0395904,766,766.0
1723078573.8410919,769,769.0
1723078586.570929,770,770.0
1723078624.6183553,773,773.0
1723078662.6585894,776,776.0
1723078675.2011113,777,777.0
1723078700.626556,779,779.0
1723078713.3717132,780,780.0
1723078725.8589375,781,781.0
1723078738.3275096,782,782.0
1723078750.9704878,783,783.0
1723078826.7483854,789,789.0
1723078864.5074549,792,792.0
1723079029.3006463,805,805.0
1723079042.004163,806,806.0
1723079054.5843902,807,807.0
1723079067.4601002,808,808.0
1723079105.337781,811,811.0
1723079206.7605555,819,819.0
1723079219.4770308,820,820.0
1723079320.7884254,828,828.0
1723079333.3634813,829,829.0
1723079383.7467701,833,833.0
1723079396.5802608,834,834.0
1723079423.2405136,836,836.0
1723079436.042979,837,837.0
1723079474.026767,840,840.0
1723079486.7406461,841,841.0
1723079524.9116619,844,844.0
1723079550.1856415,846,846.0
1723079613.8353274,851,851.0
1723079626.437546,852,852.0
1723079664.6311038,855,855.0
1723079702.8054285,858,858.0
1723079741.1154914,861,861.0
1723079766.669965,863,863.0
1723079804.732808,866,866.0
1723079817.3522637,867,867.0
1723079868.0144603,871,871.0
1723079880.76325,872,872.0
1723080044.7805097,885,885.0
1723080070.2211468,887,887.0
1723080120.478673,891,891.0
1723080145.609654,893,893.0
1723080183.506676,896,896.0
1723080208.6437068,898,898.0
1723080221.1435559,899,899.0
1723080259.0498946,902,902.0
1723080271.6810808,903,903.0
1723080334.0982752,908,908.0
1723080346.645614,909,909.0
1723080371.751575,911,911.0
1723080384.221205,912,912.0
1723080422.0301359,915,915.0
1723080473.0532131,919,919.0
1723080485.6538002,920,920.0
1723080510.6714194,922,922.0
1723080598.8451538,929,929.0
1723080624.1493676,931,931.0
1723080636.8722818,932,932.0
1723080649.7814355,933,933.0
1723080687.6948035,936,936.0
1723080737.994923,940,940.0
1723080762.9404848,942,942.0
1723080775.594113,943,943.0
1723080813.355749,946,946.0
1723080863.3601487,950,950.0
1723080900.96545,953,953.0
1723080938.3951206,956,956.0
1723081001.8700058,961,961.0
1723081039.878509,964,964.0
1723081065.0580783,966,966.0
1723081090.1535184,968,968.0
1723081102.6863725,969,969.0
1723081227.9924588,979,979.0
1723081240.5502884,980,980.0
1723081278.2532582,983,983.0
1723081328.7892013,987,987.0
1723081379.056007,991,991.0
1723081404.1954312,993,993.0
1723081429.602898,995,995.0
1723081454.7488008,997,997.0
1723081479.843055,999,999.0
1723081492.3819416,1000,1000.0
1723081530.4065263,1003,1003.0
1723081542.962068,1004,1004.0
1723081555.570414,1005,1005.0
1723081580.7710114,1007,1007.0
1723081644.1102376,1012,1012.0
1723081669.2705607,1014,1014.0
1723081694.6501906,1016,1016.0
1723081783.3029284,1023,1023.0
1723081833.8675892,1027,1027.0
1723081859.0701785,1029,1029.0
1723081947.4529676,1036,1036.0
1723081959.9608212,1037,1037.0
1723081972.4033225,1038,1038.0
1723081985.1056569,1039,1039.0
1723081997.5644832,1040,1040.0
1723082048.4161143,1044,1044.0
1723082086.6865098,1047,1047.0
1723082213.1122627,1057,1057.0
1723082238.7477357,1059,1059.0
1723082264.121978,1061,1061.0
1723082289.3286664,1063,1063.0
1723082327.0120077,1066,1066.0
1723082351.9351087,1068,1068.0
1723082377.0917306,1070,1070.0
1723082390.19495,1071,1071.0
1723082403.5123298,1072,1072.0
1723082416.3566113,1073,1073.0
1723082429.36921,1074,1074.0
1723082441.996604,1075,1075.0
1723082480.5510502,1078,1078.0
1723082518.4720151,1081,1081.0
1723082582.2576337,1086,1086.0
1723082594.8811245,1087,1087.0
1723082607.56593,1088,1088.0
1723082658.4657485,1092,1092.0
1723082747.490866,1099,1099.0
1723082772.7750714,1101,1101.0
1723082798.0906343,1103,1103.0
1723082810.68893,1104,1104.0
1723082823.3329525,1105,1105.0
1723082861.5848665,1108,1108.0
1723082886.938552,1110,1110.0
1723082912.072502,1112,1112.0
1723082924.500761,1113,1113.0
1723082949.7013025,1115,1115.0
1723083012.2805107,1120,1120.0
1723083037.479909,1122,1122.0
1723083049.9309545,1123,1123.0
1723083087.670302,1126,1126.0
1723083100.230569,1127,1127.0
1723083125.3754475,1129,1129.0
1723083138.0144274,1130,1130.0
1723083176.1292152,1133,1133.0
1723083201.0911255,1135,1135.0
1723083226.2637715,1137,1137.0
1723083264.030058,1140,1140.0
1723083351.9226484,1147,1147.0
1723083377.1358924,1149,1149.0
1723083402.2881982,1151,1151.0
1723083414.785149,1152,1152.0
1723083427.5012736,1153,1153.0
1723083527.6935391,1161,1161.0
1723083552.7302008,1163,1163.0
1723083578.0702322,1165,1165.0
1723083616.1642067,1168,1168.0
1723083692.8309498,1174,1174.0
1723083705.359209,1175,1175.0
1723083730.7085466,1177,1177.0
1723083743.296518,1178,1178.0
1723083755.9772048,1179,1179.0
1723083806.3210807,1183,1183.0
1723083831.4660828,1185,1185.0
1723083856.7904088,1187,1187.0
1723083894.3321872,1190,1190.0
1723083907.1260376,1191,1191.0
1723083944.8686976,1194,1194.0
1723083957.6404254,1195,1195.0
1723083995.5377426,1198,1198.0
1723084096.8788607,1206,1206.0
1723084109.4592001,1207,1207.0
1723084121.9053051,1208,1208.0
1723084210.3062398,1215,1215.0
1723084261.0170844,1219,1219.0
1723084323.8258514,1224,1224.0
1723084349.001828,1226,1226.0
1723084400.1750686,1230,1230.0
1723084437.7430363,1233,1233.0
1723084512.855273,1239,1239.0
1723084589.7752411,1245,1245.0
1723084615.2992954,1247,1247.0
1723084653.1093512,1250,1250.0
1723084665.6943,1251,1251.0
1723084678.4762392,1252,1252.0
1723084691.1767375,1253,1253.0
1723084716.5464923,1255,1255.0
1723084742.0080764,1257,1257.0
1723084754.550539,1258,1258.0
1723084792.879785,1261,1261.0
1723084805.476276,1262,1262.0
1723084880.792065,1268,1268.0
1723084931.2553613,1272,1272.0
1723084994.465238,1277,1277.0
1723085007.184408,1278,1278.0
1723085019.6341887,1279,1279.0
1723085069.931843,1283,1283.0
1723085107.7934132,1286,1286.0
1723085171.1949356,1291,1291.0
1723085209.1650605,1294,1294.0
1723085272.0626898,1299,1299.0
1723085284.7447596,1300,1300.0
1723085322.357889,1303,1303.0
1723085372.3359587,1307,1307.0
1723085422.7113333,1311,1311.0
1723085485.8090487,1316,1316.0
1723085548.7688131,1321,1321.0
1723085573.8696074,1323,1323.0
1723085611.6567826,1326,1326.0
1723085624.0298107,1327,1327.0
1723085649.423382,1329,1329.0
1723085737.8868334,1336,1336.0
1723085863.6771765,1346,1346.0
1723085901.3255181,1349,1349.0
1723085939.560948,1352,1352.0
1723085952.1913197,1353,1353.0
1723085977.4321842,1355,1355.0
1723086053.6199834,1361,1361.0
1723086104.3506052,1365,1365.0
1723086117.0300376,1366,1366.0
1723086129.6585157,1367,1367.0
1723086142.3112223,1368,1368.0
1723086154.954296,1369,1369.0
1723086243.7532578,1376,1376.0
1723086256.470334,1377,1377.0
1723086307.5313911,1381,1381.0
1723086371.293934,1386,1386.0
1723086384.1018593,1387,1387.0
1723086435.402205,1391,1391.0
1723086473.4001462,1394,1394.0
1723086524.7075315,1398,1398.0
1723086777.9810965,1418,1418.0
1723086828.9942732,1422,1422.0
1723086956.0277002,1432,1432.0
1723086968.750727,1433,1433.0
1723087019.03831,1437,1437.0
1723087044.1733522,1439,1439.0
1723087056.7701735,1440,1440.0
1723087069.3261814,1441,1441.0
1723087082.551806,1442,1442.0
1723087120.348012,1445,1445.0
1723087183.4728663,1450,1450.0
1723087208.7563205,1452,1452.0
1723087221.8803422,1453,1453.0
1723087259.9410038,1456,1456.0
1723087285.2530572,1458,1458.0
1723087297.986586,1459,1459.0
1723087323.449589,1461,1461.0
1723087335.9855447,1462,1462.0
1723087450.288249,1471,1471.0
1723087488.608185,1474,1474.0
1723087501.2470708,1475,1475.0
1723087526.247394,1477,1477.0
1723087614.3724246,1484,1484.0
1723087665.2030494,1488,1488.0
1723087703.1664484,1491,1491.0
1723087741.1626585,1494,1494.0
1723087753.7346509,1495,1495.0
1723087804.357504,1499,1499.0
1723087817.1079202,1500,1500.0
1723087855.5670013,1503,1503.0
1723087944.0544019,1510,1510.0
1723087956.662182,1511,1511.0
1723087969.135606,1512,1512.0
1723087994.5142345,1514,1514.0
1723088019.6973438,1516,1516.0
1723088032.3912313,1517,1517.0
1723088120.8733945,1524,1524.0
1723088184.0910914,1529,1529.0
1723088260.5046325,1535,1535.0
1723088298.261729,1538,1538.0
1723088311.0081928,1539,1539.0
1723088348.8166652,1542,1542.0
1723088436.7899725,1549,1549.0
1723088474.4379668,1552,1552.0
1723088486.9520347,1553,1553.0
1723088499.439483,1554,1554.0
1723088613.7335684,1563,1563.0
1723088651.1485817,1566,1566.0
1723088663.5850525,1567,1567.0
1723088688.6351826,1569,1569.0
1723088713.6547554,1571,1571.0
1723088726.2197552,1572,1572.0
1723088738.649476,1573,1573.0
1723088751.2055795,1574,1574.0
1723088789.1567347,1577,1577.0
1723088839.717726,1581,1581.0
1723088852.3921936,1582,1582.0
1723088902.9295988,1586,1586.0
1723089029.9870086,1596,1596.0
1723089042.6733973,1597,1597.0
1723089055.1918154,1598,1598.0
1723089105.4147613,1602,1602.0
1723089117.9408762,1603,1603.0
1723089130.7217388,1604,1604.0
1723089231.3327527,1612,1612.0
1723089268.8453252,1615,1615.0
1723089294.207153,1617,1617.0
1723089396.5744588,1625,1625.0
1723089434.074617,1628,1628.0
1723089484.3492613,1632,1632.0
1723089534.3039248,1636,1636.0
1723089559.3743236,1638,1638.0
1723089597.044064,1641,1641.0
1723089609.7360828,1642,1642.0
1723089673.7709732,1647,1647.0
1723089686.5664065,1648,1648.0
1723089736.969273,1652,1652.0
