Wall time,Step,Value
1723059974.256778,518,-1.842379475647249e-07
1723059987.0199351,519,-1.499295194662409e-07
1723059999.691265,520,-1.3154743783161393e-07
1723060012.506346,521,-1.8590687034247821e-07
1723060025.3235567,522,-1.3887872185591732e-08
1723060038.06208,523,-6.855724876686509e-08
1723060050.8648684,524,-5.459774854443822e-09
1723060063.6247482,525,-1.9574155629697998e-08
1723060089.1673667,527,-1.5361307248440426e-07
1723060101.9134648,528,-1.6627311083539098e-07
1723060114.6063778,529,-1.3649462005105306e-07
1723060127.2860365,530,-1.4703272199767525e-07
1723060139.9762325,531,-1.5003679720848595e-07
1723060152.907385,532,-1.3642309681927145e-07
1723060165.4941552,533,-1.0156630736446459e-07
1723060178.2066014,534,-6.135701369203161e-08
1723060190.931757,535,-4.637236372673215e-09
1723060203.6384182,536,-4.924535090822246e-08
1723060216.2782557,537,-1.2755389633412051e-08
1723060228.9642603,538,-1.4555449290298839e-08
1723060241.6172938,539,-5.928277246880498e-08
1723060254.3507648,540,5.6970122841448756e-08
1723060266.9688852,541,2.8359893988749718e-08
1723060279.6707988,542,1.3568401868724322e-07
1723060292.3407142,543,3.1685829071648186e-08
1723060305.071768,544,3.2305744745997345e-09
1723060317.8157704,545,6.796121709840008e-08
1723060343.788827,547,-5.8901303390257453e-08
1723060356.7044845,548,-1.3744825722028509e-08
1723060369.6182256,549,-1.1336798166894368e-08
1723060382.5923805,550,1.0281802076406166e-07
1723060395.382837,551,1.174092361111434e-07
1723060408.0994785,552,8.198023238037422e-08
1723060420.6882107,553,9.561777858380083e-08
1723060433.4999278,554,1.6232729649345856e-07
1723060446.242542,555,1.262307165461607e-07
1723060458.9850767,556,1.4091730804466351e-07
1723060471.7145693,557,1.168847134636053e-07
1723060484.4927454,558,1.8485785346911143e-07
1723060497.2420013,559,1.6845464756443107e-07
1723060510.1592126,560,1.5109777962152293e-07
1723060523.0932963,561,1.6185045126348996e-07
1723060536.3202214,562,1.4928579616935167e-07
